,summary,Energiewende,Verkehrswende,Geo_Engineering,Oekologie,Tipping_Points,Klimawandel,Landwirtschaft,Gesundheit,Wasserversorgung,Waermewende,Industrie,Klimaextreme,Urbane_Hitzeinsel,word
energie+markt der,5.279138482377609,0.3069790149292774,0.0,0.0,-0.49853686838511074,-0.45376932269011117,-0.592776583493163,-0.501352987599574,-0.5004972875814272,-0.4986826198755774,-0.24066423728266315,-0.5137228054716672,-0.4991304519264357,0.0,energie+markt der
Kohleland,5.223206102525016,0.30257959560334274,0.0,0.0,-0.4878853594358273,-0.44311781374082765,-0.5821250745438796,-0.49070147865029046,-0.48984577863214385,-0.4880311109262939,-0.23001272833337982,-0.5030712965223835,-0.48847894297715255,0.0,Kohleland
der kohle+land,5.223206102525016,0.30257959560334274,0.0,0.0,-0.4878853594358273,-0.44311781374082765,-0.5821250745438796,-0.49070147865029046,-0.48984577863214385,-0.4880311109262939,-0.23001272833337982,-0.5030712965223835,-0.48847894297715255,0.0,der kohle+land
kohle+land polen,7.556172163543274,0.4234569143164181,0.0,0.0,-0.8571386845870674,-0.8123711388920679,-0.9513783996951198,-0.8599548038015308,-0.8590991037833839,-0.857284436077534,-0.59926605348462,-0.8723246216736238,-0.8577322681283925,0.0,kohle+land polen
polen bau+t,5.113525526236106,0.2936134538634226,0.0,0.0,-0.4666630433782298,-0.42189549768323026,-0.5609027584862822,-0.4694791625926931,-0.46862346257454635,-0.4668087948686964,-0.2087904122757822,-0.4818489804647862,-0.4672566269195549,0.0,polen bau+t
bau+t erneuer+bar+e,5.200003486512002,0.30072098832570476,0.0,0.0,-0.483433246266592,-0.4386657005715925,-0.5776729613746444,-0.4862493654810553,-0.4853936654629086,-0.4835789977570587,-0.22556061516414455,-0.4986191833531484,-0.4840268298079172,0.0,bau+t erneuer+bar+e
der bevölkerung,4.672874041629843,0.2523270541271976,0.0,0.0,-0.37654825905315326,-0.33178071335815384,-0.47078797416120555,-0.3793643782676166,-0.37850867824946977,-0.37669401054361995,-0.11867562795070567,-0.3917341961397097,-0.3771418425944785,0.0,der bevölkerung
bevölkerung unter+stütz+t,4.550532029828526,0.2390893374719537,0.0,0.0,-0.35001810595612337,-0.3052505602611238,-0.4442578210641757,-0.35283422517058655,-0.35197852515243994,-0.3501638574465899,-0.09214547485367583,-0.3652040430426796,-0.35061168949744836,0.0,bevölkerung unter+stütz+t
neuerdings,4.425187800383491,0.2245675043761657,0.0,0.0,-0.3220866685202977,-0.27731912282529825,-0.41632638362835017,-0.324902787734761,-0.3240470877166142,-0.3222324200107643,-0.06421403741785017,-0.337272605606854,-0.3226802520616228,0.0,neuerdings
unter+stütz+t neuerdings,4.425187800383491,0.2245675043761657,0.0,0.0,-0.3220866685202977,-0.27731912282529825,-0.41632638362835017,-0.324902787734761,-0.3240470877166142,-0.3222324200107643,-0.06421403741785017,-0.337272605606854,-0.3226802520616228,0.0,unter+stütz+t neuerdings
Bedingung,4.2849203363307025,0.20703058988598877,0.0,0.0,-0.28987591078523006,-0.24510836509023048,-0.3841156258932824,-0.2926920299996933,-0.29183632998154657,-0.29002166227569665,-0.03200327968278254,-0.3050618478717863,-0.2904694943265553,0.0,Bedingung
neuerdings bedingung,4.2849203363307025,0.20703058988598877,0.0,0.0,-0.28987591078523006,-0.24510836509023048,-0.3841156258932824,-0.2926920299996933,-0.29183632998154657,-0.29002166227569665,-0.03200327968278254,-0.3050618478717863,-0.2904694943265553,0.0,neuerdings bedingung
bedingung versorgung+s+sicherheit,4.214303065234317,0.19763410122618744,0.0,0.0,-0.2732581816525878,-0.22849063595758823,-0.3674978967606401,-0.2760743008670511,-0.2752186008489043,-0.2734039331430545,-0.015385550550140197,-0.28844411873914416,-0.2738517651939129,0.0,bedingung versorgung+s+sicherheit
anfang juli,4.088207345814464,0.17980735251150348,0.0,0.0,-0.24288052241192198,-0.1981129767169225,-0.3371202375199744,-0.24569664162638521,-0.24484094160823858,-0.24302627390238865,0.01499210869052554,-0.25806645949847834,-0.2434741059532472,0.0,anfang juli
juli steh,4.069812686296178,0.17708664199051125,0.0,0.0,-0.2383709255687176,-0.19360337987371798,-0.33261064067676993,-0.2411870447831808,-0.24033134476503404,-0.23851667705918397,0.019501705533730106,-0.25355686265527394,-0.2389645091100427,0.0,juli steh
steh polen+s,4.048561049819759,0.17390319806808158,0.0,0.0,-0.23313547184130626,-0.18836792614630676,-0.32737518694935847,-0.2359515910557696,-0.23509589103762282,-0.2332812233317728,0.024737159261141135,-0.24832140892786253,-0.2337290553826314,0.0,steh polen+s
polen+s minister+präsident,4.024821741440813,0.170295124653826,0.0,0.0,-0.22725457224535742,-0.1824870265503578,-0.32149428735340974,-0.23007069145982065,-0.22921499144167382,-0.22740032373582394,0.030618058857090073,-0.2424405093319137,-0.22784815578668247,0.0,polen+s minister+präsident
minister+präsident donald,3.968415387914259,0.16149452552312424,0.0,0.0,-0.2131408185941475,-0.16837327289914789,-0.30738053370219987,-0.21595693780861078,-0.21510123779046397,-0.2132865700846141,0.04473181250830005,-0.22832675568070374,-0.2137344021354726,0.0,minister+präsident donald
Tusk,3.9480855821243273,0.15824143482647515,0.0,0.0,-0.20800474886909875,-0.16323720317409923,-0.30224446397715105,-0.21082086808356199,-0.20996516806541524,-0.20815050035956528,0.04986788223334879,-0.223190685955655,-0.20859833241042383,0.0,Tusk
donald tusk,3.9480855821243273,0.15824143482647515,0.0,0.0,-0.20800474886909875,-0.16323720317409923,-0.30224446397715105,-0.21082086808356199,-0.20996516806541524,-0.20815050035956528,0.04986788223334879,-0.223190685955655,-0.20859833241042383,0.0,donald tusk
tusk kleinstadt,3.91507639317784,0.15286433163825977,0.0,0.0,-0.1996087923932805,-0.1548412466982811,-0.29384850750133285,-0.2024249116077439,-0.20156921158959706,-0.19975454388374722,0.05826383870916694,-0.214794729479837,-0.20020237593460558,0.0,tusk kleinstadt
Kleczew,3.887663029285876,0.14830678395369293,0.0,0.0,-0.19258216361618194,-0.14781461792118247,-0.28682187872423426,-0.1953982828306453,-0.19454258281249853,-0.19272791510664852,0.06529046748626557,-0.20776810070273835,-0.1931757471575073,0.0,Kleczew
kleinstadt kleczew,3.887663029285876,0.14830678395369293,0.0,0.0,-0.19258216361618194,-0.14781461792118247,-0.28682187872423426,-0.1953982828306453,-0.19454258281249853,-0.19272791510664852,0.06529046748626557,-0.20776810070273835,-0.1931757471575073,0.0,kleinstadt kleczew
östlich,3.8694576094903237,0.14523269004679878,0.0,0.0,-0.1878882948292771,-0.14312074913427758,-0.2821280099373295,-0.19070441404374036,-0.18984871402559367,-0.18803404631974363,0.06998433627317031,-0.2030742319158335,-0.18848187837060218,0.0,östlich
kleczew östlich,3.8694576094903237,0.14523269004679878,0.0,0.0,-0.1878882948292771,-0.14312074913427758,-0.2821280099373295,-0.19070441404374036,-0.18984871402559367,-0.18803404631974363,0.06998433627317031,-0.2030742319158335,-0.18848187837060218,0.0,kleczew östlich
Posen,3.8434505310327682,0.140773963256288,0.0,0.0,-0.181144489108237,-0.13637694341323758,-0.2753842042162893,-0.18396060832270045,-0.1831049083045536,-0.18129024059870372,0.0767281419942104,-0.19633042619479338,-0.18173807264956224,0.0,Posen
östlich posen,3.8434505310327682,0.140773963256288,0.0,0.0,-0.181144489108237,-0.13637694341323758,-0.2753842042162893,-0.18396060832270045,-0.1831049083045536,-0.18129024059870372,0.0767281419942104,-0.19633042619479338,-0.18173807264956224,0.0,östlich posen
Pozna,3.828949906517612,0.13825285028388073,0.0,0.0,-0.17736453995187854,-0.132596994256879,-0.27160425505993097,-0.1801806591663419,-0.17932495914819513,-0.17751029144234515,0.08050809115056887,-0.19255047703843503,-0.17795812349320372,0.0,Pozna
posen pozna,3.828949906517612,0.13825285028388073,0.0,0.0,-0.17736453995187854,-0.132596994256879,-0.27160425505993097,-0.1801806591663419,-0.17932495914819513,-0.17751029144234515,0.08050809115056887,-0.19255047703843503,-0.17795812349320372,0.0,posen pozna
stolzem,3.8070853517210717,0.13440287241800594,0.0,0.0,-0.17163784702522,-0.12687030133022045,-0.2658775621332724,-0.17445396623968332,-0.1735982662215365,-0.17178359851568673,0.08623478407722736,-0.18682378411177653,-0.17223143056654525,0.0,stolzem
pozna stolz+em,3.8070853517210717,0.13440287241800594,0.0,0.0,-0.17163784702522,-0.12687030133022045,-0.2658775621332724,-0.17445396623968332,-0.1735982662215365,-0.17178359851568673,0.08623478407722736,-0.18682378411177653,-0.17223143056654525,0.0,pozna stolz+em
stolz+em blick,3.791846460705457,0.13168439108384697,0.0,0.0,-0.16762704344908708,-0.12285949775408768,-0.2618667585571394,-0.1704431626635504,-0.16958746264540364,-0.16777279493955374,0.09024558765336026,-0.1828129805356435,-0.16822062699041232,0.0,stolz+em blick
Wiese,3.7629046412802825,0.12643997694730202,0.0,0.0,-0.15996512034393565,-0.11519757464893617,-0.25420483545198813,-0.16278123955839888,-0.16192553954025224,-0.16011087183440237,0.09790751075851196,-0.17515105743049203,-0.1605587038852607,0.0,Wiese
blick wiese,3.7629046412802825,0.12643997694730202,0.0,0.0,-0.15996512034393565,-0.11519757464893617,-0.25420483545198813,-0.16278123955839888,-0.16192553954025224,-0.16011087183440237,0.09790751075851196,-0.17515105743049203,-0.1605587038852607,0.0,blick wiese
Hinter,3.750840576297334,0.12422174038951604,0.0,0.0,-0.1567539187392839,-0.11198637304428441,-0.25099363384733636,-0.15957003795374738,-0.15871433793560044,-0.1568996702297506,0.10111871236316372,-0.1719398558258403,-0.15734750228060912,0.0,Hinter
reihten,3.732562266041678,0.12082403473299078,0.0,0.0,-0.15186888261613124,-0.10710133692113175,-0.2461085977241836,-0.15468500183059458,-0.1538293018124478,-0.15201463410659785,0.10600374848631625,-0.16705481970268754,-0.1524624661574564,0.0,reihten
hinter reih+ten,3.732562266041678,0.12082403473299078,0.0,0.0,-0.15186888261613124,-0.10710133692113175,-0.2461085977241836,-0.15468500183059458,-0.1538293018124478,-0.15201463410659785,0.10600374848631625,-0.16705481970268754,-0.1524624661574564,0.0,hinter reih+ten
